name,20082009g,20082009p,20082009i,20082010g,20082010p,20082010i,20082011g,20082011p,20082011i,20082012g,20082012p,20082012i,20082013g,20082013p,20082013i,20092008g,20092008p,20092008i,20092010g,20092010p,20092010i,20092011g,20092011p,20092011i,20092012g,20092012p,20092012i,20092013g,20092013p,20092013i,20102008g,20102008p,20102008i,20102009g,20102009p,20102009i,20102011g,20102011p,20102011i,20102012g,20102012p,20102012i,20102013g,20102013p,20102013i,20112008g,20112008p,20112008i,20112009g,20112009p,20112009i,20112010g,20112010p,20112010i,20112012g,20112012p,20112012i,20112013g,20112013p,20112013i,20122008g,20122008p,20122008i,20122009g,20122009p,20122009i,20122010g,20122010p,20122010i,20122011g,20122011p,20122011i,20122013g,20122013p,20122013i,20132008g,20132008p,20132008i,20132009g,20132009p,20132009i,20132010g,20132010p,20132010i,20132011g,20132011p,20132011i,20132012g,20132012p,20132012i
"Halladay,Roy",0.731277963235,0.62978804789,0.757562353027,0.574374104601,0.597783067944,0.786819298388,0.596425036894,0.681615832838,0.480312887235,0.705219433491,0.586294052009,0.635343408417,0.837638724221,0.8843367084,0.895347179564,0.652434548439,0.559934655385,0.613968728809,0.511329469336,0.704227769187,0.786819298388,0.588398155847,0.592386628911,0.480312887235,0.610633660448,0.802843528111,0.635343408417,0.828814205166,0.761631188221,0.895347179564,0.652434548439,0.673722928835,0.613968728809,0.682897793256,0.757528289028,0.757562353027,0.588398155847,0.566872233381,0.480312887235,0.610633660448,0.549721705648,0.635343408417,0.828814205166,0.873411477719,0.895347179564,0.652434548439,0.665139135712,0.613968728809,0.682897793256,0.70012050174,0.757562353027,0.511329469336,0.651963133905,0.786819298388,0.610633660448,0.709909584808,0.635343408417,0.828814205166,0.896682440887,0.895347179564,0.652434548439,0.541746382663,0.613968728809,0.682897793256,0.666745385085,0.757562353027,0.511329469336,0.582916668689,0.786819298388,0.588398155847,0.585155664912,0.480312887235,0.828814205166,0.714399747901,0.895347179564,0.652434548439,0.707229495594,0.613968728809,0.682897793256,0.670274125067,0.757562353027,0.511329469336,0.59767858386,0.786819298388,0.588398155847,0.563512764832,0.480312887235,0.610633660448,0.603359343608,0.635343408417
"Lee,Cliff",0.750225697862,0.753695750495,0.722143253676,0.707062734796,0.720739802171,0.584021805395,0.640741088486,0.592980159575,0.514556975558,0.687877290991,0.749043763574,0.708471024115,0.58068490673,0.573714984758,0.656772059777,0.633182789636,0.580269989965,0.545269440444,0.59353989306,0.527219648852,0.584021805395,0.546742542143,0.550114616503,0.514556975558,0.724587214944,0.738431860814,0.708471024115,0.579773165538,0.591240371102,0.656772059777,0.633182789636,0.689752142809,0.545269440444,0.743729267207,0.606261220594,0.722143253676,0.546742542143,0.592540749901,0.514556975558,0.724587214944,0.700770181271,0.708471024115,0.579773165538,0.60092950561,0.656772059777,0.633182789636,0.669909562238,0.545269440444,0.743729267207,0.520015813343,0.722143253676,0.59353989306,0.731303669009,0.584021805395,0.724587214944,0.733893472589,0.708471024115,0.579773165538,0.700963261649,0.656772059777,0.633182789636,0.700047118638,0.545269440444,0.743729267207,0.6681926785,0.722143253676,0.59353989306,0.652230282029,0.584021805395,0.546742542143,0.660955949206,0.514556975558,0.579773165538,0.626162844175,0.656772059777,0.633182789636,0.520200187676,0.545269440444,0.743729267207,0.672157869652,0.722143253676,0.59353989306,0.631637310697,0.584021805395,0.546742542143,0.569869018117,0.514556975558,0.724587214944,0.689675396553,0.708471024115
"Hamels,Cole",0.777681089835,0.777681089835,0.829653762364,0.79782051033,0.79782051033,0.77493935956,0.710551551365,0.710551551365,0.756566125714,0.772495821254,0.772495821254,0.78878605828,0.838188463711,0.838188463711,0.792136575243,0.715902000808,0.5359179338,0.662448634688,0.82314719175,0.553841601935,0.77493935956,0.64514182555,0.526879259338,0.756566125714,0.765780766775,0.552574208292,0.78878605828,1.0713944566,0.594068161554,0.792136575243,0.715902000808,0.745696214632,0.662448634688,0.71752733834,0.664734805937,0.829653762364,0.64514182555,0.678359573719,0.756566125714,0.765780766775,0.669700241841,0.78878605828,1.0713944566,0.768775354655,0.792136575243,0.715902000808,0.662448634688,0.662448634688,0.71752733834,0.829653762364,0.829653762364,0.82314719175,0.77493935956,0.77493935956,0.765780766775,0.78878605828,0.78878605828,1.0713944566,0.792136575243,0.792136575243,0.715902000808,0.710381282825,0.662448634688,0.71752733834,0.757712644797,0.829653762364,0.82314719175,0.774272010922,0.77493935956,0.64514182555,0.738163172266,0.756566125714,1.0713944566,0.839695650185,0.792136575243,0.715902000808,0.715902000808,0.662448634688,0.71752733834,0.71752733834,0.829653762364,0.82314719175,0.82314719175,0.77493935956,0.64514182555,0.64514182555,0.756566125714,0.765780766775,0.765780766775,0.78878605828
"Lester,Jon",0.75327056343,0.76236420933,0.716558674617,0.812757276981,0.871633321608,0.661820264881,0.810072491413,0.743062750845,0.746413094474,0.818699268656,0.8467131312,0.76500378576,0.769116576739,0.785988307207,0.742716798253,0.738596701922,0.744004560544,0.665672176569,0.807521180285,0.6565676096,0.661820264881,0.664343917245,0.747084457042,0.746413094474,0.775212278818,0.67240171486,0.76500378576,0.624230471314,0.717893942001,0.742716798253,0.738596701922,0.735766670331,0.665672176569,0.74713382814,0.717156040256,0.716558674617,0.664343917245,0.677434795611,0.746413094474,0.775212278818,0.825919846148,0.76500378576,0.624230471314,0.798707845423,0.742716798253,0.738596701922,0.852148280583,0.665672176569,0.74713382814,0.75327056343,0.716558674617,0.807521180285,0.812757276981,0.661820264881,0.775212278818,0.818699268656,0.76500378576,0.624230471314,0.769116576739,0.742716798253,0.738596701922,0.85473909321,0.665672176569,0.74713382814,0.685474314943,0.716558674617,0.807521180285,0.848640729809,0.661820264881,0.664343917245,0.600211983312,0.746413094474,0.624230471314,0.657303632131,0.742716798253,0.738596701922,0.728952516727,0.665672176569,0.74713382814,0.723989165084,0.716558674617,0.807521180285,0.962298925845,0.661820264881,0.664343917245,0.668944411741,0.746413094474,0.775212278818,0.816405227144,0.76500378576
"Greinke,Zack",0.700851147027,0.617359061832,0.715653980751,0.731301013191,0.833133760884,0.744415466311,0.700660996448,0.768267286884,0.679695232967,0.679931485897,0.598146875851,0.678349826144,0.838365987546,0.829430611476,0.724419894833,0.769789010967,0.703280635016,0.712064560383,0.579642989562,0.717813223249,0.744415466311,0.944599763465,0.798569930944,0.679695232967,0.599409741123,0.633477161758,0.678349826144,0.790202410518,0.742314469042,0.724419894833,0.769789010967,0.94146393488,0.712064560383,0.626604652259,0.617359061832,0.715653980751,0.944599763465,0.768267286884,0.679695232967,0.599409741123,0.598146875851,0.678349826144,0.790202410518,0.829430611476,0.724419894833,0.769789010967,0.749719057091,0.712064560383,0.626604652259,0.602383198064,0.715653980751,0.579642989562,0.563749119044,0.744415466311,0.599409741123,0.607123800311,0.678349826144,0.790202410518,0.725890626074,0.724419894833,0.769789010967,0.671766801597,0.712064560383,0.626604652259,0.662982419226,0.715653980751,0.579642989562,0.689520225181,0.744415466311,0.944599763465,0.656219433405,0.679695232967,0.790202410518,0.7236774228,0.724419894833,0.769789010967,0.914525721456,0.712064560383,0.626604652259,0.552927575822,0.715653980751,0.579642989562,0.746553056934,0.744415466311,0.944599763465,0.621217582212,0.679695232967,0.599409741123,0.508547141655,0.678349826144
"Lincecum,Tim",0.722795617471,0.700489659136,0.668844009366,0.792018611498,0.7492452855,0.660806032958,0.792352182106,0.808147034566,0.738275731926,0.841049638286,0.793634229854,0.773675217496,0.790634698517,0.7444259772,0.722659628157,0.777507107828,0.784669993644,0.637118446999,0.661296320384,0.792018611498,0.660806032958,0.891251346794,0.792352182106,0.738275731926,0.74509251218,0.841049638286,0.773675217496,0.74228339936,0.790634698517,0.722659628157,0.777507107828,0.599527476392,0.637118446999,0.613045394769,0.590580009242,0.668844009366,0.891251346794,0.643744299841,0.738275731926,0.74509251218,0.851070053353,0.773675217496,0.74228339936,0.722157287484,0.722659628157,0.777507107828,0.608517989207,0.637118446999,0.613045394769,0.575317613143,0.668844009366,0.661296320384,0.719436137822,0.660806032958,0.74509251218,0.953475017528,0.773675217496,0.74228339936,0.689396936636,0.722659628157,0.777507107828,0.640547945733,0.637118446999,0.613045394769,0.680734918961,0.668844009366,0.661296320384,0.854418481055,0.660806032958,0.891251346794,0.818905401438,0.738275731926,0.74228339936,0.729583445129,0.722659628157,0.777507107828,0.740110618019,0.637118446999,0.613045394769,0.590057410664,0.668844009366,0.661296320384,0.674805868787,0.660806032958,0.891251346794,0.585331118059,0.738275731926,0.74509251218,0.763448577169,0.773675217496
"Sabathia,CC",0.81955424198,0.803126899443,0.640453328863,0.813341300171,0.815042650995,0.719996644087,0.773528641846,0.74656661339,0.770943274578,0.783645525454,0.760223321386,0.755750430482,0.81570938932,0.872823758234,0.72777339413,0.596936006169,0.532128691274,0.655915724219,0.614970565966,0.865738491793,0.719996644087,0.769822603881,0.745755770103,0.770943274578,1.07330926275,0.619348958806,0.755750430482,0.764520931136,0.82981867472,0.72777339413,0.596936006169,0.532128691274,0.655915724219,0.812822920035,0.858141021787,0.640453328863,0.769822603881,0.745755770103,0.770943274578,1.07330926275,0.619348958806,0.755750430482,0.764520931136,0.82981867472,0.72777339413,0.596936006169,0.754539511807,0.655915724219,0.812822920035,0.744698338503,0.640453328863,0.614970565966,0.7548857656,0.719996644087,1.07330926275,0.808107221076,0.755750430482,0.764520931136,0.796789704617,0.72777339413,0.596936006169,0.596936006169,0.655915724219,0.812822920035,0.812822920035,0.640453328863,0.614970565966,0.614970565966,0.719996644087,0.769822603881,0.769822603881,0.770943274578,0.764520931136,0.764520931136,0.72777339413,0.596936006169,0.712613112168,0.655915724219,0.812822920035,0.82255386028,0.640453328863,0.614970565966,0.83923243971,0.719996644087,0.769822603881,0.734246086512,0.770943274578,1.07330926275,0.681579215955,0.755750430482
"Santana,Johan",0.858371114866,0.753824701857,0.795451142236,0.847983369179,0.617145644422,0.73308080496,,,,0.809734478903,0.7547053709,0.77690412157,,,,0.770861938404,0.696172089909,0.625940299748,0.696387980995,0.81954376003,0.73308080496,,,,0.998472654303,0.873976569843,0.77690412157,,,,0.770861938404,0.778733874033,0.625940299748,0.808198457416,0.858371114866,0.795451142236,,,,0.998472654303,0.809734478903,0.77690412157,,,,0.770861938404,,0.625940299748,0.808198457416,,0.795451142236,0.696387980995,,0.73308080496,0.998472654303,,0.77690412157,,,,0.770861938404,0.6704103121,0.625940299748,0.808198457416,0.727726670485,0.795451142236,0.696387980995,0.611421610365,0.73308080496,,,,,,,0.770861938404,,0.625940299748,0.808198457416,,0.795451142236,0.696387980995,,0.73308080496,,,,0.998472654303,,0.77690412157
"Hernandez,Felix",0.793093198931,0.72602618462,0.622017304722,0.830395107659,0.686745952377,0.77417153693,0.75834434662,0.725998363515,0.667383956808,0.788867319324,0.63727234438,0.774396132467,0.745045520464,0.706192484862,0.788884556324,0.749628880703,0.749628880703,0.714008891144,0.830350715621,0.830350715621,0.77417153693,0.752659931166,0.752659931166,0.667383956808,0.734884648657,0.734884648657,0.774396132467,0.949063574076,0.949063574076,0.788884556324,0.749628880703,0.61691099269,0.714008891144,0.90154376729,0.767566164462,0.622017304722,0.752659931166,0.581247455681,0.667383956808,0.734884648657,0.618431927481,0.774396132467,0.949063574076,0.971693934569,0.788884556324,0.749628880703,0.932869591127,0.714008891144,0.90154376729,0.790376242832,0.622017304722,0.830350715621,0.797930517403,0.77417153693,0.734884648657,0.721575265322,0.774396132467,0.949063574076,0.758864972806,0.788884556324,0.749628880703,0.671117434392,0.714008891144,0.90154376729,0.66778548386,0.622017304722,0.830350715621,0.563480632357,0.77417153693,0.752659931166,0.710820628013,0.667383956808,0.949063574076,0.803753125645,0.788884556324,0.749628880703,0.581189361927,0.714008891144,0.90154376729,0.703601709884,0.622017304722,0.830350715621,0.739892889611,0.77417153693,0.752659931166,0.569445789814,0.667383956808,0.734884648657,0.684692071746,0.774396132467
"Billingsley,Chad",0.868063207054,0.868063207054,0.724138110114,0.7675957691,0.7675957691,0.655717557011,0.822948491256,0.822948491256,0.704513912642,0.849443139663,0.849443139663,0.687949530216,1.0,1.0,0.754751131222,0.78888467248,0.793067288668,0.75228315404,0.831673187868,0.7675957691,0.655717557011,0.7106094825,0.822948491256,0.704513912642,0.772748249579,0.849443139663,0.687949530216,0.788235294118,1.0,0.754751131222,0.78888467248,0.729972914867,0.75228315404,0.86375305279,0.734445561325,0.724138110114,0.7106094825,0.667848712373,0.704513912642,0.772748249579,0.900109710552,0.687949530216,0.788235294118,0.943438914027,0.754751131222,0.78888467248,0.786466199061,0.75228315404,0.86375305279,0.848552231152,0.724138110114,0.831673187868,0.754841166125,0.655717557011,0.772748249579,0.741687190329,0.687949530216,0.788235294118,1.0,0.754751131222,0.78888467248,0.742066607043,0.75228315404,0.86375305279,0.758853734021,0.724138110114,0.831673187868,0.774204808403,0.655717557011,0.7106094825,0.779267863348,0.704513912642,0.788235294118,1.19049773756,0.754751131222,0.78888467248,0.655234903032,0.75228315404,0.86375305279,0.596676409038,0.724138110114,0.831673187868,0.551898003619,0.655717557011,0.7106094825,0.585528839616,0.704513912642,0.772748249579,0.616311893428,0.687949530216
